이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
강동우,2004,2.45,59,129,22,1,3,49,9.0,49,2,4,45,13,7,1,0.295,0.367,0.37,0.737,109.5,0
페레즈,2004,2.44,60,154,17,0,18,86,,33,5,6,66,19,1,3,0.314,0.362,0.459,0.821,120.2,0
송지만,2004,2.03,80,129,21,0,22,74,6.0,63,9,1,127,16,9,0,0.265,0.36,0.444,0.804,116.7,0
전상렬,2004,1.79,76,133,18,2,5,42,15.0,34,8,1,61,2,10,4,0.274,0.329,0.35,0.679,81.8,0
장원진,2004,1.65,51,122,15,4,5,49,5.0,44,5,1,54,5,5,3,0.284,0.356,0.373,0.729,102.2,0
김주찬,2004,1.34,53,109,20,5,7,42,44.0,32,13,0,92,7,6,2,0.242,0.31,0.356,0.666,70.3,0
최경환,2004,1.1,49,121,16,4,5,58,14.0,34,4,0,67,7,0,6,0.278,0.331,0.367,0.698,89.0,0
데이비스,2005,5.63,90,139,24,0,24,86,7.0,65,5,7,76,8,0,6,0.323,0.412,0.545,0.957,164.0,1
박재홍,2005,5.24,76,128,21,1,18,63,22.0,67,2,2,78,10,2,3,0.304,0.4,0.487,0.887,155.6,0
이종범,2005,4.78,69,134,25,2,6,36,28.0,47,11,2,49,8,7,0,0.312,0.393,0.421,0.814,132.8,0
심정수,2005,4.73,77,119,14,0,28,87,3.0,89,4,4,116,12,0,2,0.275,0.402,0.501,0.903,152.7,0
이진영,2005,4.3,76,132,19,1,20,74,8.0,55,3,3,60,7,8,4,0.291,0.369,0.47,0.839,133.2,0
이병규,2005,4.28,62,157,24,2,9,75,10.0,34,9,1,62,10,1,7,0.337,0.388,0.455,0.843,139.4,1
클리어,2005,3.36,64,122,23,4,15,61,19.0,36,10,3,85,8,0,5,0.303,0.371,0.493,0.864,135.0,0
송지만,2005,3.31,70,118,22,0,24,74,,43,24,0,101,9,4,3,0.271,0.366,0.486,0.852,122.3,0
박한이,2005,3.01,62,139,21,0,9,59,12.0,55,9,2,51,15,12,4,0.295,0.377,0.397,0.774,119.6,0
