이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
최형우,2016,7.25,99,195,46,2,31,144,2,83,9,8,83,12,0,7,0.376,0.464,0.651,1.115,172.7,1
김재환,2016,5.71,107,160,32,3,37,124,8,71,0,3,107,9,0,5,0.325,0.407,0.628,1.035,162.3,1
손아섭,2016,4.93,118,186,33,1,16,81,42,92,3,1,104,4,0,2,0.323,0.418,0.468,0.886,121.8,0
김주찬,2016,4.57,97,177,37,3,23,101,9,30,7,1,68,13,1,6,0.346,0.386,0.566,0.952,134.5,1
이용규,2016,4.4,98,159,20,4,3,41,21,63,7,1,29,7,7,1,0.352,0.438,0.434,0.872,127.9,0
나성범,2016,4.2,116,177,37,2,22,113,7,67,9,2,136,4,1,4,0.309,0.388,0.497,0.885,125.1,0
나지완,2016,4.08,84,117,21,2,25,90,6,85,17,1,90,8,0,4,0.308,0.451,0.571,1.022,159.6,0
박건우,2016,4.04,95,162,36,4,20,83,,38,9,0,86,9,4,5,0.335,0.39,0.55,0.94,139.0,0
민병헌,2016,3.31,98,166,31,4,16,87,9,48,15,1,91,18,1,4,0.325,0.396,0.495,0.891,133.2,0
대니돈,2016,2.74,65,123,33,1,16,70,1,70,5,4,72,8,1,4,0.295,0.399,0.494,0.893,123.3,0
박해민,2016,2.73,109,169,26,12,4,61,52,49,3,2,87,6,22,3,0.3,0.357,0.41,0.767,90.9,0
유한준,2016,1.96,70,137,22,0,14,64,4,47,2,1,40,10,0,3,0.336,0.404,0.493,0.897,121.7,0
고종욱,2016,1.93,92,176,22,9,8,72,28,28,5,1,103,10,1,5,0.334,0.37,0.455,0.825,104.7,0
이종욱,2016,1.81,73,138,24,4,5,57,,54,1,0,73,11,4,5,0.305,0.376,0.408,0.784,103.2,0
채은성,2016,1.73,64,126,20,3,9,81,7,31,7,0,75,9,2,8,0.313,0.365,0.444,0.809,106.8,0
정의윤,2016,1.48,68,179,32,1,27,100,2,25,10,3,76,15,0,5,0.311,0.347,0.51,0.857,107.7,0
이택근,2016,1.03,64,123,19,1,8,65,7,53,3,1,56,11,0,6,0.309,0.389,0.422,0.811,106.1,0
김문호,2016,1.02,77,171,28,3,7,70,12,62,6,1,70,15,3,2,0.325,0.401,0.43,0.831,108.6,0
김호령,2016,0.67,72,121,18,3,8,41,19,36,10,0,104,7,13,2,0.267,0.333,0.373,0.706,76.8,0
양성우,2016,0.14,52,104,12,4,4,53,5,39,9,0,67,6,8,6,0.271,0.347,0.354,0.701,77.0,0
이대형,2016,-0.66,89,192,14,3,1,42,37,44,2,0,90,6,7,1,0.32,0.368,0.358,0.726,82.8,0
