이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
김재환,2018,6.5,104,176,36,1,44,133,2,59,9,4,134,6,0,7,0.334,0.405,0.657,1.062,169.6,1
로하스,2018,6.34,114,172,30,1,43,114,18,71,7,4,142,10,1,2,0.305,0.388,0.59,0.978,140.9,0
손아섭,2018,5.46,109,182,32,5,26,93,20,68,2,1,99,15,1,1,0.329,0.404,0.546,0.95,135.0,0
전준우,2018,5.24,118,190,36,2,33,90,7,48,7,1,82,12,1,2,0.342,0.4,0.592,0.992,141.4,1
김현수,2018,4.83,95,164,39,2,20,101,1,47,1,6,61,9,0,10,0.362,0.415,0.589,1.004,158.5,0
호잉,2018,4.71,85,162,47,2,30,110,23,51,5,10,93,5,0,5,0.306,0.369,0.573,0.942,131.6,0
나성범,2018,4.17,110,177,36,3,23,91,15,44,15,4,131,11,0,5,0.318,0.381,0.518,0.899,123.4,0
최형우,2018,4.12,92,179,34,1,25,103,3,66,7,7,87,17,0,8,0.339,0.414,0.549,0.963,142.9,0
이정후,2018,3.8,81,163,34,2,6,57,11,42,8,3,58,5,3,8,0.355,0.412,0.477,0.889,129.2,1
한동민,2018,3.58,97,138,31,0,41,115,4,52,16,3,124,10,0,8,0.284,0.367,0.601,0.968,129.4,0
채은성,2018,3.46,78,175,36,2,25,119,3,35,9,1,97,12,0,5,0.331,0.379,0.548,0.927,136.4,0
버나디나,2018,3.26,106,159,25,3,20,70,,63,10,3,103,9,3,1,0.31,0.395,0.487,0.882,125.3,0
민병헌,2018,3.25,74,141,21,0,17,66,8,35,8,3,68,10,2,6,0.318,0.374,0.481,0.855,109.3,0
구자욱,2018,3.0,100,159,26,5,20,84,10,43,5,2,110,4,1,2,0.333,0.392,0.533,0.925,123.7,0
유한준,2018,2.97,59,145,21,1,20,83,1,47,2,3,53,9,2,1,0.339,0.406,0.533,0.939,137.5,0
박해민,2018,2.91,114,172,30,10,9,68,36,56,3,0,99,9,8,6,0.299,0.36,0.432,0.792,94.1,0
박건우,2018,2.84,79,159,24,6,12,84,7,28,10,1,65,14,1,2,0.326,0.373,0.473,0.846,118.5,0
노수광,2018,2.82,93,161,21,8,8,53,25,48,13,0,86,3,9,3,0.313,0.383,0.431,0.814,106.4,0
이형종,2018,2.61,83,138,27,0,13,42,6,31,12,0,82,6,5,0,0.316,0.377,0.467,0.844,120.2,0
강백호,2018,2.0,108,153,32,2,29,84,,52,3,0,124,4,0,3,0.29,0.356,0.524,0.88,115.9,0
이명기,2018,1.79,88,135,28,6,4,42,12,40,3,3,64,5,11,1,0.302,0.363,0.418,0.781,98.4,0
이용규,2018,1.73,82,144,14,1,1,36,30,59,12,0,62,8,8,5,0.293,0.379,0.332,0.711,89.3,0
임병욱,2018,1.31,76,124,29,3,13,60,16,22,0,1,119,6,0,2,0.293,0.327,0.468,0.795,94.1,0
김헌곤,2018,1.18,77,154,26,2,11,71,22,54,10,1,70,13,5,4,0.3,0.375,0.423,0.798,99.2,0
김동엽,2018,-0.12,58,106,15,0,27,76,11,17,4,0,108,13,1,3,0.252,0.285,0.48,0.765,75.7,0
