이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
송지만,2000,5.61,93,158,33,2,32,90,20,52,7,2,72,10,0,3,0.338,0.409,0.622,1.031,169.4,1
박재홍,2000,5.26,101,151,31,5,32,115,30,64,7,5,77,15,0,12,0.309,0.388,0.589,0.977,150.3,1
프랑코,2000,4.79,79,156,19,1,22,110,12,63,2,5,86,11,0,7,0.327,0.403,0.509,0.912,142.7,0
심정수,2000,4.73,75,138,21,2,29,91,,69,10,1,67,12,0,9,0.304,0.4,0.551,0.951,147.8,0
김재현,2000,4.65,83,143,32,2,11,62,6,81,7,5,73,11,3,5,0.308,0.415,0.457,0.872,142.1,0
이영우,2000,4.6,91,152,36,5,25,64,7,52,8,5,91,5,1,3,0.318,0.392,0.571,0.963,150.0,0
이병규,2000,4.21,99,170,28,1,18,99,14,52,5,4,91,15,2,9,0.323,0.383,0.482,0.865,131.1,1
장원진,2000,3.48,94,170,27,5,7,59,10,43,3,0,37,12,1,5,0.323,0.374,0.433,0.807,121.5,0
스미스,2000,3.28,71,122,27,1,35,100,0,53,2,3,120,17,0,6,0.288,0.366,0.605,0.971,144.4,0
심재학,2000,3.15,66,114,30,1,21,75,,51,15,1,59,7,3,3,0.265,0.361,0.486,0.847,114.4,0
데이비스,2000,2.91,72,140,29,1,22,80,21,25,2,1,92,15,3,9,0.334,0.367,0.566,0.933,141.8,0
김대익,2000,2.88,72,129,27,4,6,47,12,53,2,3,82,5,11,4,0.278,0.352,0.392,0.744,100.9,0
정수근,2000,2.48,82,139,23,3,3,50,47,47,5,0,40,5,7,6,0.277,0.341,0.353,0.694,86.0,0
조경환,2000,2.36,52,102,15,2,25,64,1,42,9,2,113,6,0,1,0.264,0.349,0.508,0.857,112.6,0
이호성,2000,2.0,52,96,25,0,8,57,13,65,4,1,102,8,0,2,0.242,0.353,0.365,0.718,96.4,0
김종훈,2000,1.09,73,109,24,2,11,40,7,46,6,0,86,9,6,2,0.245,0.323,0.383,0.706,83.8,0
김응국,2000,1.03,57,111,15,3,6,45,9,34,2,4,78,7,1,1,0.277,0.336,0.374,0.71,86.5,0
채종범,2000,0.24,55,113,22,5,8,52,5,35,9,1,59,10,13,4,0.247,0.311,0.37,0.681,72.0,0
