이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
유한준,2015,6.34,103,188,42,1,23,116,3,67,2,2,71,13,1,8,0.362,0.43,0.579,1.009,154.8,1
김현수,2015,6.21,103,167,26,0,28,121,11,101,8,12,63,13,0,9,0.326,0.438,0.541,0.979,163.0,1
나성범,2015,4.79,112,184,34,5,28,135,23,32,15,1,127,9,3,8,0.326,0.373,0.553,0.926,134.3,1
아두치,2015,4.62,105,165,34,5,28,106,24,55,8,8,118,9,1,4,0.314,0.384,0.557,0.941,130.3,0
최형우,2015,4.29,94,174,33,1,33,123,2,73,9,7,101,13,0,8,0.318,0.402,0.563,0.965,144.1,0
이용규,2015,3.96,94,168,15,7,4,42,28,68,9,5,45,4,11,4,0.341,0.427,0.424,0.851,123.1,0
손아섭,2015,3.34,86,141,28,1,13,54,,68,1,3,96,6,0,3,0.317,0.406,0.472,0.878,123.9,0
민병헌,2015,2.6,80,149,20,2,12,75,7,50,8,0,74,15,6,6,0.303,0.373,0.426,0.799,113.2,0
박해민,2015,2.6,96,154,22,7,0,47,60,56,2,1,126,8,23,2,0.293,0.362,0.362,0.724,88.1,0
박용택,2015,2.09,66,159,28,2,18,83,11,34,4,1,73,12,1,7,0.326,0.37,0.503,0.873,128.2,0
정수빈,2015,2.02,79,145,27,7,2,59,15,43,11,1,70,9,19,6,0.295,0.361,0.391,0.752,97.5,0
스나이더,2015,1.85,88,121,26,1,26,71,4,37,11,0,135,2,3,5,0.281,0.349,0.527,0.876,115.7,0
김종호,2015,1.79,90,125,16,7,4,36,,44,4,0,65,11,10,3,0.295,0.364,0.394,0.758,96.3,0
이종욱,2015,1.36,63,118,25,2,5,52,17,54,3,6,78,5,4,3,0.268,0.35,0.368,0.718,86.4,0
이명기,2015,0.93,88,164,30,2,3,35,22,35,11,0,86,7,11,4,0.315,0.368,0.397,0.765,96.7,0
이대형,2015,0.79,86,165,23,3,0,37,44,53,6,0,92,5,10,1,0.302,0.37,0.355,0.725,86.7,0
김상현,2015,0.6,71,133,20,0,27,88,4,50,8,4,115,21,0,6,0.28,0.354,0.493,0.847,106.9,0
