이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
홍창기,2023,6.67,109,174,35,2,1,65,23,88,22,3,83,6,3,6,0.332,0.444,0.412,0.856,161.3,1
구자욱,2023,5.26,65,152,37,1,11,71,12,53,4,2,81,5,2,3,0.336,0.407,0.494,0.901,154.3,1
정수빈,2023,4.26,75,143,14,11,2,33,39,64,7,1,63,2,12,2,0.287,0.375,0.371,0.746,121.2,0
박건우,2023,3.93,70,146,34,2,12,85,7,56,9,0,71,14,1,9,0.319,0.397,0.48,0.877,149.2,1
소크라테스,2023,3.88,91,156,31,3,20,96,15,52,1,4,80,13,0,8,0.285,0.344,0.463,0.807,125.0,0
알포드,2023,3.85,83,142,31,3,15,70,17,47,6,1,140,6,0,3,0.289,0.356,0.456,0.812,123.5,0
에레디아,2023,3.82,76,153,29,0,12,76,12,39,9,4,75,13,1,1,0.323,0.385,0.461,0.846,135.9,0
문성주,2023,3.58,77,132,21,4,2,57,24,67,8,0,34,10,6,4,0.294,0.392,0.372,0.764,129.1,0
마틴,2023,3.44,55,123,20,2,17,90,,57,1,2,107,8,0,10,0.283,0.36,0.455,0.815,125.5,0
박해민,2023,3.35,80,138,14,2,6,59,26,45,3,0,74,7,24,1,0.285,0.348,0.359,0.707,103.4,0
김민혁,2023,2.55,68,118,20,3,3,41,11,36,3,0,48,4,7,5,0.297,0.356,0.385,0.741,104.9,0
로하스,2023,2.51,52,102,24,4,19,65,0,55,3,2,68,5,0,3,0.253,0.345,0.474,0.819,133.5,0
문현빈,2023,1.38,47,114,22,2,5,49,,33,6,2,84,7,9,5,0.266,0.324,0.362,0.686,89.6,0
최지훈,2023,1.26,65,124,19,8,2,30,21,29,3,0,50,3,8,1,0.268,0.315,0.357,0.672,83.4,0
피렐라,2023,0.64,66,159,28,1,16,80,6,42,4,5,69,20,0,2,0.285,0.339,0.425,0.764,107.9,0
김현준,2023,0.63,62,119,10,6,3,46,5,30,5,0,84,5,8,3,0.275,0.327,0.346,0.673,85.2,0
김민석,2023,0.1,53,102,24,0,3,39,16,31,6,1,112,6,12,5,0.255,0.314,0.338,0.652,78.1,0
