이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
홍창기,2021,6.92,103,172,26,2,4,52,23,109,16,4,95,6,0,2,0.328,0.456,0.408,0.864,164.4,1
이정후,2021,6.29,78,167,42,6,7,84,10,62,9,1,37,8,0,9,0.36,0.438,0.522,0.96,171.8,1
알테어,2021,4.8,83,134,19,2,32,84,20,57,11,2,156,6,0,5,0.272,0.358,0.514,0.872,131.9,0
구자욱,2021,4.75,107,166,30,10,22,88,27,48,6,3,98,9,1,12,0.306,0.361,0.519,0.88,129.8,1
박건우,2021,4.19,82,149,31,2,6,63,,50,11,2,72,16,0,6,0.325,0.4,0.441,0.841,143.3,0
김재환,2021,4.18,86,130,23,2,27,102,2,81,5,3,127,9,0,5,0.274,0.382,0.501,0.883,151.7,0
전준우,2021,3.89,88,192,46,0,7,92,6,53,5,0,71,10,1,8,0.348,0.405,0.469,0.874,134.6,0
한유섬,2021,3.73,71,123,18,1,31,95,1,60,10,4,96,11,1,6,0.278,0.373,0.534,0.907,142.0,0
추신수,2021,3.69,84,122,19,2,21,69,25,103,12,4,123,8,0,4,0.265,0.409,0.451,0.86,140.9,0
박해민,2021,3.34,78,132,22,1,5,54,36,69,3,2,82,3,9,7,0.291,0.383,0.377,0.76,109.6,0
김현수,2021,3.34,70,144,23,1,17,96,,77,3,5,42,7,0,9,0.285,0.376,0.435,0.811,132.2,0
이용규,2021,3.31,88,136,16,8,1,43,17,71,5,2,46,5,6,6,0.296,0.392,0.373,0.765,119.5,0
최원준,2021,2.94,82,174,21,6,4,44,40,61,11,0,68,7,4,3,0.295,0.37,0.372,0.742,107.0,0
배정대,2021,2.92,85,132,23,1,12,68,19,65,12,2,132,9,3,5,0.259,0.353,0.378,0.731,102.0,0
손아섭,2021,2.57,88,173,29,2,3,58,11,61,3,3,67,15,3,1,0.319,0.39,0.397,0.787,114.7,0
피렐라,2021,2.39,102,158,25,2,29,97,9,57,8,2,89,8,0,3,0.286,0.359,0.495,0.854,126.2,0
채은성,2021,2.33,59,107,20,0,16,82,4,38,16,2,80,9,0,7,0.276,0.359,0.452,0.811,128.9,0
최지훈,2021,2.3,75,121,19,6,5,45,26,51,8,0,71,6,8,6,0.262,0.342,0.362,0.704,90.1,0
터커,2021,0.24,42,111,24,1,9,59,0,61,8,1,66,12,0,2,0.237,0.334,0.35,0.684,89.0,0
조용호,2021,-0.43,71,101,14,1,0,48,12,74,3,0,85,8,5,5,0.236,0.349,0.273,0.622,76.6,0
