이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
박용택,2012,4.82,82,152,34,3,11,76,30,42,7,1,66,9,1,7,0.305,0.362,0.451,0.813,139.3,1
이용규,2012,4.18,86,139,14,2,2,37,44,66,10,0,38,9,10,3,0.283,0.377,0.332,0.709,115.5,1
김원섭,2012,4.06,60,117,21,4,3,61,8,69,2,1,54,12,12,3,0.303,0.409,0.402,0.811,152.8,0
손아섭,2012,3.43,61,158,26,0,5,58,10,41,6,4,79,7,2,4,0.314,0.37,0.396,0.766,126.9,1
김현수,2012,3.19,47,127,17,1,7,65,6,46,3,2,50,9,0,5,0.291,0.358,0.382,0.74,120.0,0
박한이,2012,3.03,61,118,19,4,1,51,,58,1,3,72,8,13,3,0.304,0.393,0.381,0.774,139.0,0
이진영,2012,2.92,39,112,18,0,4,55,4,44,1,2,41,8,0,2,0.307,0.381,0.389,0.77,136.8,0
나지완,2012,2.89,40,109,17,1,11,56,7,56,13,4,93,9,8,5,0.274,0.377,0.405,0.782,124.9,0
김주찬,2012,2.44,62,128,27,3,5,39,32,30,7,1,48,7,11,5,0.294,0.346,0.405,0.751,117.2,0
장기영,2012,2.34,64,102,9,5,8,35,,40,3,0,67,1,14,4,0.246,0.315,0.35,0.665,89.5,0
김강민,2012,1.94,49,116,20,0,5,31,11,29,4,0,72,7,11,3,0.272,0.322,0.354,0.676,94.8,0
최형우,2012,1.81,51,125,27,1,14,77,2,55,5,3,76,20,0,10,0.271,0.348,0.425,0.773,122.3,0
배영섭,2012,1.74,64,101,15,2,2,34,27,48,9,0,69,4,7,3,0.245,0.335,0.306,0.641,87.3,0
이종욱,2012,1.66,57,105,17,1,0,39,21,43,3,2,43,2,9,5,0.24,0.309,0.284,0.593,70.1,0
전준우,2012,0.78,63,116,22,4,7,38,21,45,7,0,103,16,6,3,0.253,0.327,0.364,0.691,98.9,0
이병규,2012,0.74,52,126,25,1,5,41,5,22,2,1,58,18,5,6,0.3,0.333,0.4,0.733,113.3,0
