이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
샌즈,2019,5.71,100,160,39,1,28,113,1,77,6,1,101,17,0,5,0.305,0.396,0.543,0.939,166.8,1
로하스,2019,5.51,68,168,30,3,24,104,4,49,3,5,120,4,0,5,0.322,0.381,0.53,0.911,150.8,1
박건우,2019,5.03,83,146,27,5,10,64,12,60,7,0,57,23,1,11,0.319,0.397,0.465,0.862,153.1,0
이정후,2019,4.5,91,193,31,10,6,68,13,45,4,0,40,15,3,4,0.336,0.386,0.456,0.842,141.5,1
강백호,2019,4.39,72,147,29,1,13,65,9,61,2,4,87,11,0,4,0.336,0.416,0.495,0.911,155.8,0
호잉,2019,3.8,74,135,26,2,18,73,22,38,5,5,90,6,1,5,0.284,0.34,0.46,0.8,118.7,0
이형종,2019,3.24,56,120,24,1,13,63,6,42,10,1,78,9,1,10,0.286,0.358,0.442,0.8,129.0,0
김현수,2019,3.05,75,160,37,0,11,82,3,54,6,9,52,11,0,9,0.304,0.37,0.437,0.807,130.5,0
김재환,2019,3.04,76,140,20,5,15,91,3,63,5,5,113,7,0,11,0.283,0.362,0.434,0.796,129.3,0
전준우,2019,2.96,85,164,30,1,22,83,8,46,7,2,71,19,1,7,0.301,0.359,0.481,0.84,126.4,0
채은성,2019,2.93,59,148,18,1,12,72,,24,12,1,67,9,0,8,0.315,0.358,0.434,0.792,127.0,0
유한준,2019,2.91,61,159,19,1,14,86,3,52,4,1,61,20,0,5,0.317,0.383,0.443,0.826,131.5,0
손아섭,2019,2.61,78,151,22,1,10,63,13,52,1,1,92,6,1,2,0.295,0.36,0.4,0.76,109.0,0
정수빈,2019,2.6,75,117,19,5,0,41,26,57,6,0,60,6,4,5,0.265,0.354,0.331,0.685,103.2,0
구자욱,2019,2.46,66,127,27,6,15,71,11,38,7,2,88,5,0,6,0.267,0.327,0.444,0.771,104.1,0
이명기,2019,2.4,62,142,17,3,2,36,,48,4,2,66,12,7,4,0.293,0.359,0.353,0.712,98.5,0
이천웅,2019,2.39,88,168,24,3,2,48,21,57,5,1,82,13,4,1,0.308,0.378,0.374,0.752,121.7,0
고종욱,2019,2.27,76,159,25,7,3,56,31,18,1,1,89,5,0,2,0.323,0.347,0.421,0.768,108.2,0
이창진,2019,2.14,57,108,25,1,6,48,8,57,4,0,92,8,4,5,0.27,0.363,0.383,0.746,110.4,0
박해민,2019,2.1,64,121,16,7,5,44,24,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,76.5,0
한동민,2019,1.84,52,113,20,0,12,52,0,55,20,4,100,6,0,0,0.265,0.375,0.396,0.771,119.1,0
김강민,2019,1.59,54,114,14,2,8,50,15,31,4,3,103,2,0,3,0.27,0.324,0.37,0.694,87.3,0
이성열,2019,1.51,60,106,21,1,21,85,8,48,9,1,114,7,1,4,0.256,0.343,0.464,0.807,126.2,0
김헌곤,2019,1.5,57,122,20,1,5,46,10,37,8,1,41,18,5,6,0.297,0.361,0.387,0.748,102.5,0
김민혁,2019,1.1,68,131,10,1,0,32,22,32,13,0,61,8,5,5,0.281,0.341,0.307,0.648,82.5,0
