이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
김재환,2017,6.98,110,185,34,2,35,115,4,81,7,10,123,8,0,4,0.34,0.429,0.603,1.032,169.9,0
박건우,2017,5.94,91,177,40,2,20,78,20,41,10,2,64,15,5,4,0.366,0.424,0.582,1.006,168.6,0
최형우,2017,5.94,98,176,36,3,26,120,0,96,11,8,82,15,0,8,0.342,0.45,0.576,1.026,162.9,1
나성범,2017,5.72,103,173,42,2,24,99,17,48,12,10,116,8,0,3,0.347,0.415,0.584,0.999,153.8,0
손아섭,2017,5.59,113,193,35,4,20,80,25,83,4,8,96,7,1,3,0.335,0.42,0.514,0.934,134.6,1
버나디나,2017,4.14,118,178,26,8,27,111,32,41,11,2,112,9,3,9,0.32,0.372,0.54,0.912,126.2,1
구자욱,2017,4.01,108,175,39,10,21,107,,63,10,1,138,1,0,10,0.31,0.383,0.527,0.91,120.7,0
전준우,2017,3.11,76,146,27,1,18,69,2,30,7,2,70,11,2,2,0.321,0.37,0.503,0.873,115.9,0
권희동,2017,2.91,72,135,20,2,19,86,3,51,17,1,90,12,7,7,0.286,0.371,0.458,0.829,113.1,0
이명기,2017,2.75,79,154,24,4,9,63,8,28,3,0,57,2,14,3,0.332,0.371,0.459,0.83,112.6,0
이정후,2017,2.61,111,179,29,8,2,47,,60,6,2,67,9,2,2,0.324,0.395,0.417,0.812,114.2,0
민병헌,2017,2.03,73,136,21,0,14,71,3,47,19,2,74,14,1,6,0.304,0.389,0.445,0.834,124.7,0
박해민,2017,1.82,96,162,25,8,7,54,40,50,1,0,78,6,8,9,0.284,0.338,0.393,0.731,75.8,0
유한준,2017,1.44,52,136,19,0,13,68,0,45,2,2,59,10,2,3,0.306,0.37,0.436,0.806,104.2,0
김문호,2017,1.13,49,114,17,1,2,35,9,37,13,4,73,5,7,1,0.292,0.372,0.356,0.728,87.5,0
고종욱,2017,0.96,70,133,24,8,8,54,16,22,3,2,92,11,0,2,0.312,0.349,0.462,0.811,102.0,0
