이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
로하스,2020,9.04,116,192,39,1,47,135,0,65,5,5,132,11,0,8,0.349,0.417,0.68,1.097,181.5,1
이정후,2020,6.17,85,181,49,5,15,101,12,59,4,6,47,16,2,8,0.333,0.397,0.524,0.921,149.8,1
손아섭,2020,4.86,98,190,43,0,11,85,5,61,2,4,56,9,1,7,0.352,0.415,0.493,0.908,139.7,0
터커,2020,4.81,100,166,40,0,32,113,0,76,9,3,67,12,0,4,0.306,0.398,0.557,0.955,150.1,0
김현수,2020,4.67,98,181,35,2,22,119,0,63,2,7,53,9,0,7,0.331,0.397,0.523,0.92,153.7,1
홍창기,2020,4.45,87,114,29,6,5,39,11,83,10,1,87,8,3,3,0.279,0.411,0.417,0.828,138.7,0
배정대,2020,3.96,88,154,25,3,13,65,22,68,5,0,142,9,5,4,0.289,0.372,0.42,0.792,111.2,0
김재환,2020,3.85,82,137,26,1,30,113,6,91,1,3,154,14,0,6,0.266,0.373,0.494,0.867,136.9,0
박건우,2020,3.64,103,148,40,0,14,70,8,42,12,2,65,9,3,7,0.304,0.369,0.472,0.841,133.0,0
알테어,2020,3.28,90,134,20,7,31,108,22,46,12,3,149,10,0,6,0.278,0.352,0.541,0.893,124.6,0
박해민,2020,3.25,84,142,18,5,11,55,34,39,3,1,77,7,7,3,0.29,0.345,0.415,0.76,93.5,0
구자욱,2020,3.2,70,137,27,2,15,78,19,51,8,3,91,4,1,4,0.307,0.385,0.478,0.863,121.2,0
정수빈,2020,2.85,84,146,17,8,5,59,,55,2,3,56,10,7,5,0.298,0.368,0.396,0.764,113.0,0
나지완,2020,2.65,73,136,19,1,17,92,0,64,18,1,114,6,0,6,0.291,0.392,0.444,0.836,124.6,0
전준우,2020,2.64,95,157,34,1,26,96,5,52,8,0,79,21,3,3,0.279,0.347,0.482,0.829,112.3,0
조용호,2020,1.89,73,121,15,0,0,32,,64,2,1,83,6,5,2,0.296,0.392,0.333,0.725,102.1,0
김동엽,2020,1.65,60,129,21,0,20,74,4,29,4,0,79,14,1,4,0.312,0.36,0.508,0.868,118.6,0
채은성,2020,1.57,59,122,17,2,15,88,0,32,9,1,69,12,0,7,0.293,0.351,0.452,0.803,115.8,0
이명기,2020,1.46,82,146,18,3,2,45,12,50,4,0,78,6,5,4,0.306,0.374,0.369,0.743,97.4,0
이용규,2020,1.22,60,120,14,2,1,32,17,59,6,0,36,9,2,1,0.286,0.381,0.337,0.718,102.2,0
최지훈,2020,0.67,66,120,19,5,1,27,18,38,5,0,80,4,8,3,0.258,0.318,0.326,0.644,65.4,0
