이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
로하스,2024,6.5,108,188,39,1,32,112,2,88,6,9,115,10,0,4,0.329,0.421,0.568,0.989,153.3,1
구자욱,2024,5.69,92,169,39,1,33,115,13,55,12,4,73,6,2,6,0.343,0.417,0.627,1.044,162.3,1
홍창기,2024,5.06,96,176,18,3,5,73,10,96,12,3,93,8,1,4,0.336,0.447,0.41,0.857,142.3,0
에레디아,2024,4.42,82,195,31,1,21,118,4,28,13,3,73,12,0,9,0.36,0.399,0.538,0.937,137.2,0
김지찬,2024,3.98,102,143,16,3,3,36,42,60,9,2,40,5,12,1,0.316,0.405,0.384,0.789,112.7,0
권희동,2024,3.77,66,125,22,1,13,77,4,77,10,1,63,10,2,6,0.3,0.417,0.452,0.869,137.9,0
소크라테스,2024,3.42,92,171,30,3,26,97,13,41,4,4,91,7,0,5,0.31,0.359,0.516,0.875,121.2,0
레이예스,2024,3.4,88,202,40,3,15,111,5,46,1,2,82,16,0,11,0.352,0.394,0.51,0.904,127.5,1
윤동희,2024,3.13,97,156,35,4,14,85,7,67,7,1,114,10,2,5,0.293,0.376,0.453,0.829,113.1,0
정수빈,2024,2.97,95,145,21,3,4,47,52,71,9,1,72,8,10,8,0.284,0.376,0.361,0.737,100.2,0
최원준,2024,2.17,75,128,23,3,9,56,,50,8,0,66,6,7,5,0.292,0.371,0.42,0.791,110.1,0
페라자,2024,2.13,75,125,24,0,24,70,7,63,2,5,129,6,0,2,0.275,0.364,0.486,0.85,116.7,0
박해민,2024,2.03,72,127,16,6,6,56,43,46,11,0,101,3,5,9,0.263,0.336,0.359,0.695,86.1,0
이주형,2024,1.96,82,126,19,3,13,60,6,49,14,1,119,4,0,1,0.266,0.352,0.402,0.754,103.6,0
최지훈,2024,1.76,89,133,22,7,11,49,32,50,2,0,71,5,6,2,0.275,0.345,0.418,0.763,92.2,0
김현수,2024,1.06,61,152,36,2,8,69,,47,9,1,76,10,1,9,0.294,0.357,0.418,0.775,104.7,0
배정대,2024,0.88,49,111,25,1,7,59,9,50,4,1,114,5,8,7,0.275,0.355,0.394,0.749,94.1,0
김태연,2024,0.61,59,120,24,0,12,61,5,45,4,0,89,9,6,4,0.291,0.363,0.436,0.799,106.5,0
한유섬,2024,-0.23,64,109,29,0,24,87,0,46,9,3,142,2,1,3,0.235,0.314,0.453,0.767,89.3,0
