이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
민병헌,2013,4.64,71,122,21,7,9,65,27,40,7,0,62,7,12,7,0.319,0.387,0.48,0.867,141.5,0
손아섭,2013,4.43,83,172,23,4,11,69,36,64,3,6,88,9,0,3,0.345,0.421,0.474,0.895,141.0,1
김현수,2013,4.23,63,131,23,1,16,90,2,62,2,10,71,6,0,12,0.302,0.382,0.47,0.852,138.6,0
최형우,2013,4.09,80,156,28,0,29,98,2,47,7,1,91,5,0,8,0.305,0.366,0.53,0.896,136.3,1
이진영,2013,3.75,41,121,26,1,3,62,6,37,2,4,42,6,1,3,0.329,0.39,0.429,0.819,131.6,0
박한이,2013,3.73,56,112,12,3,6,55,4,51,1,0,74,5,18,2,0.284,0.366,0.376,0.742,102.5,0
이종욱,2013,3.56,77,123,23,6,6,52,30,38,3,1,57,6,12,2,0.307,0.369,0.439,0.808,121.5,0
나지완,2013,3.28,57,125,18,0,21,96,7,62,18,1,111,12,1,5,0.287,0.394,0.474,0.868,138.0,0
김종호,2013,3.11,72,129,12,7,0,22,50,57,17,1,100,11,6,1,0.277,0.376,0.333,0.709,97.4,0
나성범,2013,2.98,55,98,18,5,14,64,12,33,15,3,95,7,0,6,0.243,0.319,0.416,0.735,98.6,0
김강민,2013,2.91,39,106,22,3,10,55,,36,4,2,54,10,2,3,0.301,0.37,0.466,0.836,121.5,0
배영섭,2013,2.89,66,116,16,4,2,38,23,52,20,1,62,9,8,3,0.295,0.402,0.372,0.774,120.0,0
이용규,2013,2.51,74,115,20,1,2,22,21,44,7,0,37,4,10,2,0.295,0.375,0.367,0.742,116.0,0
이택근,2013,2.19,73,137,31,1,9,66,29,39,7,1,58,15,6,7,0.287,0.345,0.413,0.758,98.7,0
전준우,2013,2.19,65,125,25,1,7,66,19,65,5,0,77,15,5,7,0.275,0.367,0.38,0.747,106.6,0
박용택,2013,2.13,79,156,22,4,7,67,,52,4,1,71,5,0,7,0.328,0.393,0.435,0.828,126.6,1
조동화,2013,1.62,52,85,11,3,0,19,24,46,8,1,76,3,16,3,0.256,0.357,0.307,0.664,90.1,0
정현석,2013,1.49,47,102,15,1,4,27,4,37,7,1,64,14,3,0,0.287,0.365,0.368,0.733,101.3,0
신종길,2013,1.29,55,117,22,5,4,50,29,30,5,0,86,3,11,4,0.31,0.365,0.427,0.792,116.8,0
권희동,2013,1.01,42,71,19,1,15,54,4,36,2,0,75,6,7,3,0.203,0.279,0.393,0.672,66.0,0
정의윤,2013,0.77,42,100,15,5,5,47,5,26,8,2,45,10,1,3,0.272,0.332,0.381,0.713,93.7,0
장기영,2013,-0.14,54,87,16,2,2,30,20,35,0,0,63,4,9,3,0.242,0.307,0.314,0.621,65.5,0
