이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
심정수,2007,5.29,64,110,17,0,31,101,,83,3,1,113,10,0,2,0.258,0.381,0.515,0.896,153.3,1
이종욱,2007,4.91,84,147,20,12,1,46,47,48,4,0,74,6,6,4,0.316,0.382,0.417,0.799,136.7,1
이택근,2007,3.83,74,137,15,1,11,56,6,39,11,5,41,10,5,2,0.313,0.382,0.427,0.809,128.2,0
이용규,2007,3.14,61,123,17,8,0,27,17,37,7,0,40,4,5,3,0.28,0.344,0.355,0.699,99.8,0
박한이,2007,3.09,68,128,12,1,2,27,10,67,4,5,47,7,4,5,0.267,0.359,0.309,0.668,95.4,0
발데스,2007,3.06,50,123,15,0,13,72,4,70,2,4,49,14,0,5,0.283,0.381,0.407,0.788,129.9,0
박재홍,2007,2.93,53,97,19,1,17,54,10,41,4,6,52,5,1,7,0.28,0.356,0.487,0.843,130.7,0
박용택,2007,2.89,69,133,24,4,14,66,20,43,1,6,83,7,4,5,0.278,0.335,0.432,0.767,112.6,0
이대형,2007,2.89,68,139,13,1,1,31,53,38,5,1,54,3,13,2,0.308,0.367,0.348,0.715,110.1,1
정수근,2007,2.74,45,100,25,1,4,36,,42,1,0,38,6,9,2,0.293,0.37,0.408,0.778,132.3,0
송지만,2007,2.56,54,116,25,0,15,64,10,44,6,5,68,12,10,5,0.281,0.355,0.45,0.805,123.1,0
전준호,2007,1.9,52,110,8,1,1,13,11,40,9,1,45,6,8,2,0.296,0.377,0.332,0.709,107.3,0
고동진,2007,1.52,68,98,8,5,1,37,10,50,16,2,67,6,11,2,0.249,0.355,0.302,0.657,84.6,0
김주찬,2007,0.15,49,101,17,1,5,30,22,13,8,3,69,4,7,1,0.261,0.298,0.349,0.647,68.9,0
