이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
김현수,2009,7.37,97,172,31,6,23,104,6,80,4,5,59,7,0,6,0.357,0.448,0.589,1.037,176.3,1
박용택,2009,5.5,91,168,31,5,18,74,22,36,6,2,63,15,3,9,0.372,0.417,0.582,0.999,161.9,1
강동우,2009,5.0,88,153,30,2,10,48,27,69,1,0,58,6,4,5,0.302,0.384,0.429,0.813,118.9,0
이택근,2009,4.45,84,142,26,0,15,66,43,64,13,5,59,13,1,4,0.311,0.408,0.467,0.875,126.9,1
강봉규,2009,4.41,89,139,24,2,20,78,20,69,4,2,61,15,6,1,0.31,0.405,0.506,0.911,137.9,0
박재상,2009,3.96,84,152,31,4,15,81,33,68,6,1,107,7,20,5,0.295,0.38,0.458,0.838,119.8,0
클락,2009,3.48,85,141,24,4,24,90,23,65,3,2,85,14,0,2,0.29,0.376,0.504,0.88,124.4,0
김원섭,2009,3.43,74,107,14,9,8,43,20,56,3,1,55,8,5,3,0.301,0.401,0.458,0.859,127.7,0
최형우,2009,3.02,70,118,24,0,23,83,1,53,9,4,60,12,1,3,0.284,0.375,0.508,0.883,118.3,0
송지만,2009,2.76,69,108,15,3,22,67,,52,8,2,122,10,1,4,0.289,0.384,0.521,0.905,125.5,0
가르시아,2009,2.58,72,124,29,1,29,84,4,62,5,3,124,11,0,5,0.266,0.354,0.518,0.872,114.1,0
김주찬,2009,2.37,77,135,30,5,7,51,,28,6,0,56,7,4,6,0.31,0.356,0.451,0.807,107.2,0
나지완,2009,2.32,58,101,12,0,23,73,4,58,8,3,90,9,3,4,0.263,0.368,0.474,0.842,107.2,0
이대형,2009,1.8,92,146,10,2,2,41,64,50,0,1,77,8,22,4,0.28,0.341,0.319,0.66,74.8,0
이종범,2009,1.58,63,105,21,1,6,40,11,41,5,1,50,9,12,6,0.273,0.346,0.379,0.725,85.8,0
이진영,2009,1.34,50,114,18,1,14,69,5,40,1,7,30,19,2,2,0.3,0.366,0.463,0.829,109.8,0
임재철,2009,0.99,61,101,13,1,6,50,11,52,12,0,63,14,2,1,0.281,0.389,0.373,0.762,102.3,0
