이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
이정후,2022,8.5,85,193,36,10,23,113,5,66,5,12,32,10,0,3,0.349,0.421,0.575,0.996,186.4,1
나성범,2022,6.94,92,180,39,2,21,97,6,64,17,6,137,7,0,5,0.32,0.402,0.508,0.91,161.8,1
피렐라,2022,6.44,102,192,33,4,28,109,15,55,12,12,81,19,0,2,0.342,0.411,0.565,0.976,170.8,1
최지훈,2022,5.69,93,173,32,4,10,61,31,47,7,0,77,7,13,4,0.304,0.362,0.427,0.789,118.9,0
소크라테스,2022,4.46,83,160,29,7,17,77,12,34,2,4,81,11,0,4,0.311,0.354,0.494,0.848,136.4,0
한유섬,2022,4.39,62,121,33,1,21,100,1,66,16,6,137,8,0,5,0.264,0.372,0.478,0.85,138.7,0
김현수,2022,4.18,78,150,25,2,23,106,,71,5,7,62,5,0,3,0.286,0.375,0.473,0.848,146.5,0
박해민,2022,4.17,97,165,20,8,3,49,24,44,9,0,85,4,7,6,0.289,0.347,0.368,0.715,107.0,0
터크먼,2022,4.14,88,166,37,4,12,43,19,64,7,5,104,12,0,2,0.289,0.366,0.43,0.796,126.5,0
박건우,2022,3.85,52,137,18,1,10,61,3,44,8,1,62,10,0,3,0.336,0.408,0.458,0.866,147.3,0
홍창기,2022,3.53,76,125,19,4,1,51,13,59,19,0,75,11,5,5,0.286,0.39,0.355,0.745,128.2,0
푸이그,2022,3.35,65,131,30,0,21,73,6,58,12,1,100,6,0,4,0.277,0.367,0.474,0.841,142.4,0
조용호,2022,3.08,52,146,18,4,3,44,5,49,3,3,74,3,2,3,0.308,0.374,0.382,0.756,111.5,0
마티니,2022,2.57,67,151,34,1,16,85,,51,8,5,86,8,0,7,0.296,0.365,0.461,0.826,129.7,0
김재환,2022,2.42,64,111,24,1,23,72,2,61,4,4,133,5,0,4,0.248,0.34,0.46,0.8,129.8,0
손아섭,2022,2.21,72,152,29,4,4,48,7,59,3,2,76,9,1,6,0.277,0.347,0.367,0.714,100.6,0
배정대,2022,2.02,64,135,24,2,6,56,19,54,4,0,126,2,5,4,0.266,0.339,0.356,0.695,92.8,0
전준우,2022,1.6,73,143,31,1,11,68,6,35,3,1,73,14,0,9,0.304,0.35,0.445,0.795,116.0,0
정수빈,2022,1.24,58,105,12,4,3,41,15,39,1,1,56,2,6,4,0.259,0.323,0.331,0.654,86.3,0
